entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle	lowest_energy_var
channel_bac_merfish__7__1__6__32__1000__20__fdr	channel_bac_merfish	7	32	1	6	fdr	1000.0	0.3488796949386596	0.5430821776390076	0.0178950428962707	330545	21	0.3975902795791626
channel_bac_merfish__7__1__6__32__100__20__fdr	channel_bac_merfish	7	32	1	6	fdr	100.0	0.318264752626419	0.4655744135379791	0.0163663867861032	216860	20	0.3480762839317322
channel_bac_merfish__7__1__6__32__10__20__fdr	channel_bac_merfish	7	32	1	6	fdr	10.0	0.2979484796524048	0.396514892578125	0.0123235769569873	248931	24	0.32501375675201416
channel_bac_merfish__7__2__5__16__1000__20__fdr	channel_bac_merfish	7	16	2	5	fdr	1000.0	0.2334635555744171	0.4226954579353332	0.0323195531964302	276948	11	0.24632006883621216
channel_bac_merfish__7__2__5__16__100__20__fdr	channel_bac_merfish	7	16	2	5	fdr	100.0	0.1903573274612426	0.3411690592765808	0.0283513274043798	171372	11	0.20490169525146484
channel_bac_merfish__7__2__5__16__10__20__fdr	channel_bac_merfish	7	16	2	5	fdr	10.0	0.1608255803585052	0.2778519093990326	0.0206721294671297	121017	11	0.19485867023468018
channel_bac_merfish__7__2__5__32__1000__20__fdr	channel_bac_merfish	7	32	2	5	fdr	1000.0	0.3572506308555603	0.5454471707344055	0.0176970791071653	365483	19	0.3975902795791626
channel_bac_merfish__7__2__5__32__100__20__fdr	channel_bac_merfish	7	32	2	5	fdr	100.0	0.3228847086429596	0.4685207903385162	0.0163178406655788	230075	20	0.3480762839317322
channel_bac_merfish__7__2__5__32__10__20__fdr	channel_bac_merfish	7	32	2	5	fdr	10.0	0.3011119365692138	0.3998205065727234	0.0121413031592965	208258	21	0.32501375675201416
channel_bac_merfish__8__1__7__16__1000__20__fdr	channel_bac_merfish	8	16	1	7	fdr	1000.0	0.1477039903402328	0.3513661026954651	0.0341977179050445	231838	14	0.21102797985076904
channel_bac_merfish__8__1__7__16__100__20__fdr	channel_bac_merfish	8	16	1	7	fdr	100.0	0.109876736998558	0.275297075510025	0.0285286139696836	111379	11	0.16433477401733398
channel_bac_merfish__8__1__7__16__10__20__fdr	channel_bac_merfish	8	16	1	7	fdr	10.0	0.0935096144676208	0.2208595275878906	0.0210157576948404	108342	11	0.12522929906845093
channel_bac_merfish__8__1__7__32__1000__20__fdr	channel_bac_merfish	8	32	1	7	fdr	1000.0	0.2772114872932434	0.4709525108337402	0.0203209072351455	334291	22	0.32270097732543945
channel_bac_merfish__8__1__7__32__100__20__fdr	channel_bac_merfish	8	32	1	7	fdr	100.0	0.2409476041793823	0.3925706744194031	0.0182479359209537	214694	20	0.270876407623291
channel_bac_merfish__8__1__7__32__10__20__fdr	channel_bac_merfish	8	32	1	7	fdr	10.0	0.2111776769161224	0.3300138711929321	0.0137581788003444	215152	17	0.24883973598480225
channel_bac_merfish__8__1__7__64__1000__20__fdr	channel_bac_merfish	8	64	1	7	fdr	1000.0	0.4032635688781738	0.5904757380485535	0.0111375637352466	238538	23	0.4509819746017456
channel_bac_merfish__8__1__7__64__100__20__fdr	channel_bac_merfish	8	64	1	7	fdr	100.0	0.373274564743042	0.5188628435134888	0.0103801107034087	249052	25	0.4131511449813843
channel_bac_merfish__8__1__7__64__10__20__fdr	channel_bac_merfish	8	64	1	7	fdr	10.0	0.3556971848011017	0.4526388943195343	0.008070140145719	244284	25	0.3934180736541748
channel_bac_merfish__8__2__6__16__1000__20__fdr	channel_bac_merfish	8	16	2	6	fdr	1000.0	0.1501194536685943	0.3524118065834045	0.0341659262776374	150849	11	0.21102797985076904
channel_bac_merfish__8__2__6__16__100__20__fdr	channel_bac_merfish	8	16	2	6	fdr	100.0	0.109876736998558	0.2766384780406952	0.0286716520786285	111877	11	0.16433477401733398
channel_bac_merfish__8__2__6__16__10__20__fdr	channel_bac_merfish	8	16	2	6	fdr	10.0	0.0935838967561721	0.2223157435655594	0.0210742894560098	108555	11	0.12522929906845093
channel_bac_merfish__8__2__6__32__1000__20__fdr	channel_bac_merfish	8	32	2	6	fdr	1000.0	0.2830800414085388	0.4720862209796905	0.020396240055561	317530	22	0.32270097732543945
channel_bac_merfish__8__2__6__32__100__20__fdr	channel_bac_merfish	8	32	2	6	fdr	100.0	0.2457670420408249	0.3940106928348541	0.0182499717921018	201680	19	0.270876407623291
channel_bac_merfish__8__2__6__32__10__20__fdr	channel_bac_merfish	8	32	2	6	fdr	10.0	0.2186101377010345	0.3315807282924652	0.0136475069448351	218018	20	0.24883973598480225
channel_bac_merfish__8__2__6__64__1000__20__fdr	channel_bac_merfish	8	64	2	6	fdr	1000.0	0.4042614102363586	0.5916456580162048	0.0111065497621893	251838	25	0.4509819746017456
