entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle
channel_bac_merfish__8__1__7__64__100__20__fdr	channel_bac_merfish	8	64	1	7	fdr	100.0	0.373274564743042	0.5188628435134888	0.010380110703408718	249052	25
channel_bac_merfish__8__1__7__64__10__20__fdr	channel_bac_merfish	8	64	1	7	fdr	10.0	0.3556971848011017	0.4526388943195343	0.008070140145719051	244284	25
channel_bac_merfish__8__2__6__16__1000__20__fdr	channel_bac_merfish	8	16	2	6	fdr	1000.0	0.15011945366859436	0.35241180658340454	0.03416592627763748	150849	11
channel_bac_merfish__8__2__6__16__100__20__fdr	channel_bac_merfish	8	16	2	6	fdr	100.0	0.10987673699855804	0.2766384780406952	0.02867165207862854	111877	11
channel_bac_merfish__8__2__6__16__10__20__fdr	channel_bac_merfish	8	16	2	6	fdr	10.0	0.09358389675617218	0.2223157435655594	0.021074289456009865	108555	11
channel_bac_merfish__8__2__6__32__1000__20__fdr	channel_bac_merfish	8	32	2	6	fdr	1000.0	0.2830800414085388	0.47208622097969055	0.020396240055561066	317530	22
channel_bac_merfish__8__2__6__32__100__20__fdr	channel_bac_merfish	8	32	2	6	fdr	100.0	0.2457670420408249	0.3940106928348541	0.01824997179210186	201680	19
channel_bac_merfish__8__2__6__32__10__20__fdr	channel_bac_merfish	8	32	2	6	fdr	10.0	0.21861013770103455	0.3315807282924652	0.013647506944835186	218018	20
channel_bac_merfish__8__2__6__64__1000__20__fdr	channel_bac_merfish	8	64	2	6	fdr	1000.0	0.40426141023635864	0.5916456580162048	0.011106549762189388	251838	25
channel_bac_merfish__8__2__6__64__100__20__fdr	channel_bac_merfish	8	64	2	6	fdr	100.0	0.37491005659103394	0.5203141570091248	0.010348152369260788	245661	25
channel_bac_merfish__8__2__6__64__10__20__fdr	channel_bac_merfish	8	64	2	6	fdr	10.0	0.35630765557289124	0.45453253388404846	0.008051419630646706	243622	25
channel_bac_merfish__9__1__8__128__1000__20__fdr	channel_bac_merfish	9	128	1	8	fdr	1000.0	0.4541626572608948	0.6335093379020691	0.0069376016035676	244568	25
channel_bac_merfish__9__1__8__128__100__20__fdr	channel_bac_merfish	9	128	1	8	fdr	100.0	0.4259803295135498	0.5676702857017517	0.006571974139660597	243236	25
channel_bac_merfish__9__1__8__128__10__20__fdr	channel_bac_merfish	9	128	1	8	fdr	10.0	0.4098251461982727	0.5047308802604675	0.00525203812867403	241460	25
channel_bac_merfish__9__1__8__16__1000__20__fdr	channel_bac_merfish	9	16	1	8	fdr	1000.0	0.10526897013187408	0.2876805365085602	0.033870574086904526	145286	12
